n,sugarcane,coverage,status,best_bound,wall_time
1,0,0.00000000,OPTIMAL,-0.000,0.015
2,2,0.50000000,OPTIMAL,2.000,0.016
3,6,0.66666667,OPTIMAL,6.000,0.015
4,12,0.75000000,OPTIMAL,12.000,0.015
5,18,0.72000000,OPTIMAL,18.000,0.014
6,26,0.72222222,OPTIMAL,26.000,0.014
7,37,0.75510204,OPTIMAL,37.000,0.014
8,48,0.75000000,OPTIMAL,48.000,0.013
9,61,0.75308642,OPTIMAL,61.000,0.029
10,76,0.76000000,OPTIMAL,76.000,0.032
11,92,0.76033058,OPTIMAL,92.000,0.122
12,109,0.75694444,OPTIMAL,109.000,1.853
13,129,0.76331361,OPTIMAL,129.000,1.796
14,149,0.76020408,FEASIBLE,150.000,5.014
15,172,0.76444444,FEASIBLE,173.000,5.012
16,196,0.76562500,FEASIBLE,198.000,5.012
17,221,0.76470588,FEASIBLE,223.000,5.011
18,248,0.76543210,FEASIBLE,251.000,5.013
19,277,0.76731302,FEASIBLE,284.000,5.022
20,307,0.76750000,FEASIBLE,315.000,5.029
21,340,0.77097506,FEASIBLE,344.000,5.026
22,373,0.77066116,FEASIBLE,382.000,5.014
23,408,0.77126654,FEASIBLE,417.000,5.015
24,445,0.77256944,FEASIBLE,455.000,5.016
25,483,0.77280000,FEASIBLE,493.000,5.016
